Location	Name	ID	Count	Slots
Bank7-Slot7	Empty	0	0	0
Bank7-Slot8	Puma Skin	13757	2	6
Bank8	Backpack	17005	1	8
Bank8-Slot1	White Wolf Skin	13768	1	6
Bank8-Slot2	Polar Bear Skin	13761	6	6
Bank8-Slot3	White Wolf Skin	13768	1	6
Bank8-Slot4	Thick Caustic Fluid	1595	1	6
Bank8-Slot5	Amanita Phalloide	16830	19	6
Bank8-Slot6	Winter Lilly	63095	1	6
Bank8-Slot7	Club*	9999	1	6
Bank8-Slot7-Slot1	Empty	0	0	0
Bank8-Slot7-Slot2	Empty	0	0	0
Bank8-Slot8	Faded Blue Tunic*	13512	1	6
Bank8-Slot8-Slot1	Empty	0	0	0
Bank8-Slot8-Slot2	Empty	0	0	0
Bank9	Tailored Large Bag	17084	1	6
Bank9-Slot1	Bloodstained Mantle	3309	1	6
Bank9-Slot1-Slot1	Empty	0	0	0
Bank9-Slot2	Large Banded Leggings	3087	1	6
Bank9-Slot2-Slot1	Empty	0	0	0
Bank9-Slot2-Slot2	Empty	0	0	0
Bank9-Slot3	Bloodstained Mantle	3309	1	6
Bank9-Slot3-Slot1	Empty	0	0	0
Bank9-Slot4	Large Banded Sleeves	3084	1	6
Bank9-Slot4-Slot1	Empty	0	0	0
Bank9-Slot4-Slot2	Empty	0	0	0
Bank9-Slot5	Large Banded Helm	3077	1	6
Bank9-Slot5-Slot1	Empty	0	0	0
Bank9-Slot5-Slot2	Empty	0	0	0
Bank9-Slot6	Bronze Girdle	4207	1	6
Bank9-Slot6-Slot1	Empty	0	0	0
Bank10	Backpack	17005	1	8
Bank10-Slot1	Small Bronze Gauntlets	4222	1	6
Bank10-Slot1-Slot1	Empty	0	0	0
Bank10-Slot1-Slot2	Empty	0	0	0
Bank10-Slot2	Empty	0	0	0
Bank10-Slot3	Paineel Steel Mask	4382	1	6
Bank10-Slot3-Slot1	Empty	0	0	0
Bank10-Slot4	Small Splinted Bronze Cloak	4218	1	6
Bank10-Slot4-Slot1	Empty	0	0	0
Bank10-Slot5	Empty	0	0	0
Bank10-Slot6	Empty	0	0	0
Bank10-Slot7	Empty	0	0	0
Bank10-Slot8	Empty	0	0	0
Bank11	Backpack	17005	1	8
Bank11-Slot1	Empty	0	0	0
Bank11-Slot2	Empty	0	0	0
Bank11-Slot3	Chunk of Meat	13085	20	6
Bank11-Slot4	Wolf Meat	13403	16	6
Bank11-Slot5	Chunk of Meat	13085	11	6
Bank11-Slot6	Chunk of Meat	13085	20	6
Bank11-Slot7	Snake Meat	13412	1	6
Bank11-Slot8	Froglok Meat	13409	2	6
Bank12	Backpack	17005	1	8
Bank12-Slot1	Undead Froglok Tongue	16532	20	6
Bank12-Slot2	Vodka	16582	2	6
Bank12-Slot3	Undead Froglok Tongue	16532	20	6
Bank12-Slot4	Undead Froglok Tongue	16532	20	6
Bank12-Slot5	Permafrost Crystals	22121	2	6
Bank12-Slot6	Lixt Wing Stalk	16998	2	6
Bank12-Slot7	Winter Lilly	63095	1	6
Bank12-Slot8	Tares Lichen	16555	3	6
Bank13	Tailored Large Bag	17084	1	6
Bank13-Slot1	Large Banded Mail	3080	1	6
Bank13-Slot1-Slot1	Empty	0	0	0
Bank13-Slot1-Slot2	Empty	0	0	0
Bank13-Slot2	Large Banded Mail	3080	1	6
Bank13-Slot2-Slot1	Empty	0	0	0
Bank13-Slot2-Slot2	Empty	0	0	0
Bank13-Slot3	Large Banded Mail	3080	1	6
Bank13-Slot3-Slot1	Empty	0	0	0
Bank13-Slot3-Slot2	Empty	0	0	0
Bank13-Slot4	Large Banded Mail	3080	1	6
Bank13-Slot4-Slot1	Empty	0	0	0
Bank13-Slot4-Slot2	Empty	0	0	0
Bank13-Slot5	Large Banded Helm	3077	1	6
Bank13-Slot5-Slot1	Empty	0	0	0
Bank13-Slot5-Slot2	Empty	0	0	0
Bank13-Slot6	Large Banded Helm	3077	1	6
Bank13-Slot6-Slot1	Empty	0	0	0
Bank13-Slot6-Slot2	Empty	0	0	0
Bank14	Backpack*	32601	1	8
Bank14-Slot1	Serpentine Bracer	10148	1	6
Bank14-Slot1-Slot1	Empty	0	0	0
Bank14-Slot1-Slot2	Empty	0	0	0
Bank14-Slot2	Giant Snakespine Belt	10103	1	6
Bank14-Slot2-Slot1	Empty	0	0	0
Bank14-Slot3	Skull-shaped Barbute	4301	1	6
Bank14-Slot3-Slot1	Empty	0	0	0
Bank14-Slot3-Slot2	Empty	0	0	0
Bank14-Slot4	Chipped Bone Collar	10102	1	6
Bank14-Slot4-Slot1	Empty	0	0	0
Bank14-Slot5	Bloodstained Mantle	3309	1	6
Bank14-Slot5-Slot1	Empty	0	0	0
Bank14-Slot6	Silvery War Axe	5364	1	6
Bank14-Slot6-Slot1	Empty	0	0	0
Bank14-Slot6-Slot2	Empty	0	0	0
Bank14-Slot7	Wooden Bands	20841	1	6
Bank14-Slot8	Empty	0	0	0
Bank15	Backpack	17005	1	8
Bank15-Slot1	Picnic Basket	9656	20	6
Bank15-Slot2	Picnic Basket	9656	20	6
Bank15-Slot3	Picnic Basket	9656	20	6
Bank15-Slot4	Picnic Basket	9656	20	6
Bank15-Slot5	Wrath Orc Wristbands	12223	1	6
Bank15-Slot5-Slot1	Empty	0	0	0
Bank15-Slot5-Slot2	Empty	0	0	0
Bank15-Slot6	Wrath Orc Wristbands	12223	1	6
Bank15-Slot6-Slot1	Empty	0	0	0
Bank15-Slot6-Slot2	Empty	0	0	0
Bank15-Slot7	Onyx	10027	1	6
Bank15-Slot8	Star Rose Quartz	10021	2	6
Bank16	Backpack	17005	1	8
Bank16-Slot1	Polar Bear Head	77586	1	6
Bank16-Slot2	Drop of Mercury	22517	2	6
Bank16-Slot3	Spiderling Silk	13099	4	6
Bank16-Slot4	Woven Mandrake	9647	6	6
Bank16-Slot5	Silk Thread	16486	10	6
Bank16-Slot6	Woven Spider Silk	9914	3	6
Bank16-Slot7	Spider Silk	13041	11	6
Bank16-Slot8	Silk Cord	16489	1	6
Bank17	Empty	0	0	0
Bank18	Empty	0	0	0
Bank19	Empty	0	0	0
Bank20	Empty	0	0	0
Bank21	Empty	0	0	0
Bank22	Empty	0	0	0
Bank23	Empty	0	0	0
Bank24	Empty	0	0	0
SharedBank1	Backpack	17005	1	8
SharedBank1-Slot1	Empty	0	0	0
SharedBank1-Slot2	Empty	0	0	0
SharedBank1-Slot3	Empty	0	0	0
SharedBank1-Slot4	Empty	0	0	0
SharedBank1-Slot5	Empty	0	0	0
SharedBank1-Slot6	Dwarven Axe	5300	1	6
SharedBank1-Slot6-Slot1	Empty	0	0	0
SharedBank1-Slot6-Slot2	Empty	0	0	0
SharedBank1-Slot7	Empty	0	0	0
SharedBank1-Slot8	Empty	0	0	0
SharedBank2	Backpack	17005	1	8
SharedBank2-Slot1	Elemental Binder	28043	1	6
SharedBank2-Slot1-Slot1	Empty	0	0	0
SharedBank2-Slot1-Slot2	Empty	0	0	0
SharedBank2-Slot2	Crushbone Shoulderpads	13319	1	6
SharedBank2-Slot2-Slot1	Empty	0	0	0
SharedBank2-Slot3	Empty	0	0	0
SharedBank2-Slot4	Basilisk Eye Stalk	16985	6	6
SharedBank2-Slot5	Bone Chips	13073	58	6
SharedBank2-Slot6	Ivory	22504	1	6
SharedBank2-Slot7	Grave Mold	16817	20	6
SharedBank2-Slot8	Grave Mold	16817	7	6
SharedBank3	Empty	0	0	0
SharedBank4	Empty	0	0	0
