Location	Name	ID	Count	Slots
General6-Slot8-Slot2	Empty	0	0	0
General7	Backpack	17005	1	8
General7-Slot1	Empty	0	0	0
General7-Slot2	Shabby Rough Spell Scroll	97868	1	6
General7-Slot3	Empty	0	0	0
General7-Slot4	Empty	0	0	0
General7-Slot5	Crushed Black Marble	25833	1	6
General7-Slot6	Crushed Coral	25831	3	6
General7-Slot7	Empty	0	0	0
General7-Slot8	Empty	0	0	0
General8	Backpack	17005	1	8
General8-Slot1	Crude Stein	13355	1	6
General8-Slot2	Empty	0	0	0
General8-Slot3	Bottle of Adventure II (Heirloom)	66249	4	6
General8-Slot4	Spiderling Silk	13099	51	6
General8-Slot5	Larrikan's Mask	2736	1	6
General8-Slot5-Slot1	Empty	0	0	0
General8-Slot6	Fungus Covered Great Staff	10895	1	6
General8-Slot6-Slot1	Empty	0	0	0
General8-Slot6-Slot2	Empty	0	0	0
General8-Slot7	Guise of the Deceiver	2469	1	6
General8-Slot7-Slot1	Empty	0	0	0
General8-Slot8	Amulet of Necropotence	11646	1	6
General8-Slot8-Slot1	Empty	0	0	0
General9	Empty	0	0	0
General10	Empty	0	0	0
Held	Empty	0	0	0
Bank1	Empty	0	0	0
Bank2	Empty	0	0	0
Bank3	Empty	0	0	0
Bank4	Empty	0	0	0
Bank5	Empty	0	0	0
Bank6	Empty	0	0	0
Bank7	Empty	0	0	0
Bank8	Empty	0	0	0
Bank9	Trakanon Idol	20883	1	6
Bank10	Ornate Rune Blade	5657	1	6
Bank10-Slot1	Wulfenite Fragment	51722	1	6
Bank10-Slot2	Empty	0	0	0
Bank11	Heady Kiola	16480	20	6
Bank12	Backpack	17005	1	8
Bank12-Slot1	Ol'Tujim's Fierce Brew	16585	20	6
Bank12-Slot2	Savant's Cap	1302	1	6
Bank12-Slot2-Slot1	Empty	0	0	0
Bank12-Slot2-Slot2	Empty	0	0	0
Bank12-Slot3	Wu's Quivering Staff	6651	1	6
Bank12-Slot3-Slot1	Empty	0	0	0
Bank12-Slot3-Slot2	Empty	0	0	0
Bank12-Slot4	Springwood Club	6616	1	6
Bank12-Slot4-Slot1	Empty	0	0	0
Bank12-Slot4-Slot2	Empty	0	0	0
Bank12-Slot5	Mud Stained Skin Tunic*	13525	1	6
Bank12-Slot5-Slot1	Empty	0	0	0
Bank12-Slot5-Slot2	Empty	0	0	0
Bank12-Slot6	Ol'Tujim's Fierce Brew	16585	20	6
Bank12-Slot7	Ol'Tujim's Fierce Brew	16585	20	6
Bank12-Slot8	Ol'Tujim's Fierce Brew	16585	20	6
Bank13	Fetid Essence	24456	20	6
Bank14	Heady Kiola	16480	20	6
Bank15	Heady Kiola	16480	20	6
Bank16	Ol'Tujim's Fierce Brew	16585	2	6
Bank17	Empty	0	0	0
Bank18	Empty	0	0	0
Bank19	Empty	0	0	0
Bank20	Empty	0	0	0
Bank21	Empty	0	0	0
Bank22	Empty	0	0	0
Bank23	Empty	0	0	0
Bank24	Empty	0	0	0
SharedBank1	Empty	0	0	0
SharedBank2	Empty	0	0	0
SharedBank3	Empty	0	0	0
SharedBank4	Empty	0	0	0
